confederation,slider_level,length_scale_years,year,mean,p5,p95
CAF,0.4,3.26,2005,1533.7947033846046,1524.6408177155683,1542.948589053641
CAF,0.4,3.26,2006,1533.0993604943203,1524.4322854522898,1541.766435536351
CAF,0.4,3.26,2007,1532.3351455404509,1523.3153761700169,1541.3549149108849
CAF,0.4,3.26,2008,1532.5078665220651,1523.635555674239,1541.3801773698915
CAF,0.4,3.26,2009,1532.8515957387592,1524.0639937346057,1541.6391977429125
CAF,0.4,3.26,2010,1532.2307350055141,1523.6039280731761,1540.8575419378524
CAF,0.4,3.26,2011,1531.1558283333939,1522.6792595716627,1539.632397095125
CAF,0.4,3.26,2012,1530.7737184158525,1522.2447424500228,1539.302694381682
CAF,0.4,3.26,2013,1530.1756975089,1521.2294441948995,1539.1219508229003
CAF,0.4,3.26,2014,1528.6152375017168,1519.6265027542445,1537.6039722491894
CAF,0.4,3.26,2015,1527.0037698075205,1517.557418064123,1536.4501215509179
CAF,0.4,3.26,2016,1526.5564612246708,1516.570441781243,1536.5424806680985
CAF,0.4,3.26,2017,1526.4441081173231,1515.9111490779883,1536.9770671566578
CAF,0.4,3.26,2018,1525.8440481425293,1515.2520908809447,1536.4360054041142
CAF,0.4,3.26,2019,1525.6110541678588,1514.9184906001096,1536.303617735608
CAF,0.4,3.26,2020,1526.22188441913,1515.3115939083311,1537.1321749299286
CAF,0.4,3.26,2021,1527.0295158216836,1515.7365656090553,1538.322466034312
CAF,0.4,3.26,2022,1527.8101688979777,1515.73098127334,1539.8893565226156
CAF,0.4,3.26,2023,1528.4457737331466,1515.2773006723703,1541.6142467939226
CAF,0.4,3.26,2024,1528.9461679834333,1514.6189990209707,1543.2733369458958
CAF,0.4,3.26,2025,1529.369598555743,1513.8963803802405,1544.8428167312459
CAF,0.4,3.26,2026,1529.7337298768718,1513.1428388531042,1546.3246209006395
CAF,0.6,4.88,1992,1538.6840461609665,1525.9292785635425,1551.4388137583906
CAF,0.6,4.88,1993,1538.5091234220831,1526.9015598060585,1550.1166870381076
CAF,0.6,4.88,1994,1537.7708721126817,1527.174334116769,1548.3674101085946
CAF,0.6,4.88,1995,1536.622063698428,1526.933119680663,1546.3110077161932
CAF,0.6,4.88,1996,1535.353923909282,1526.313567840237,1544.3942799783272
CAF,0.6,4.88,1997,1534.13418455223,1525.3492285250431,1542.919140579417
CAF,0.6,4.88,1998,1533.05334029313,1524.2318447122734,1541.8748358739867
CAF,0.6,4.88,1999,1532.2019808063922,1523.2945780900498,1541.1093835227346
CAF,0.6,4.88,2000,1531.6873481889918,1522.8686432630914,1540.506053114892
CAF,0.6,4.88,2001,1531.5257635336752,1523.0510553172733,1540.000471750077
CAF,0.6,4.88,2002,1531.6209239583632,1523.6655406961952,1539.5763072205311
CAF,0.6,4.88,2003,1532.0733741031454,1524.5157315992992,1539.6310166069914
CAF,0.6,4.88,2004,1532.7521647719032,1525.1398261616605,1540.364503382146
CAF,0.6,4.88,2005,1532.9892759893962,1525.2160088714622,1540.7625431073302
CAF,0.6,4.88,2006,1532.578495650138,1524.9133383154324,1540.2436529848437
CAF,0.6,4.88,2007,1532.0449139217415,1524.3987593927743,1539.6910684507088
CAF,0.6,4.88,2008,1531.825005065099,1524.1549687537906,1539.4950413764075
CAF,0.6,4.88,2009,1531.7275908148529,1523.9879273159129,1539.4672543137929
CAF,0.6,4.88,2010,1531.3611424953333,1523.5606829864887,1539.161602004178
CAF,0.6,4.88,2011,1530.7964293867562,1522.966289613823,1538.6265691596896
CAF,0.6,4.88,2012,1530.275493050289,1522.3695000470536,1538.1814860535246
CAF,0.6,4.88,2013,1529.5809642353745,1521.5523668448197,1537.6095616259292
CAF,0.6,4.88,2014,1528.5431590379917,1520.4449118768973,1536.641406199086
CAF,0.6,4.88,2015,1527.5199727113613,1519.1902737276482,1535.8496716950742
CAF,0.6,4.88,2016,1526.9122147603605,1518.1324293332475,1535.6920001874735
CAF,0.6,4.88,2017,1526.5457890073371,1517.3115708774649,1535.7800071372094
CAF,0.6,4.88,2018,1526.1883791020402,1516.7081627755615,1535.668595428519
CAF,0.6,4.88,2019,1526.0528556603015,1516.334583576368,1535.7711277442347
CAF,0.6,4.88,2020,1526.2972249266509,1516.198350547326,1536.3960993059757
CAF,0.6,4.88,2021,1526.7504271784126,1516.1053309455026,1537.3955234113225
CAF,0.6,4.88,2022,1527.2393281530763,1515.8423702192335,1538.6362860869192
CAF,0.6,4.88,2023,1527.660976538373,1515.395953650672,1539.925999426074
CAF,0.6,4.88,2024,1527.9940888439571,1514.8777705527336,1541.1104071351806
CAF,0.6,4.88,2025,1528.2742755572895,1514.3549152998833,1542.1936358146954
CAF,0.6,4.88,2026,1528.531745134516,1513.830070450033,1543.233419818999
CAF,0.8,6.51,1992,1538.1150336161625,1526.608666701101,1549.621400531224
CAF,0.8,6.51,1993,1537.9531370294453,1527.2800683297123,1548.6262057291783
CAF,0.8,6.51,1994,1537.4147252409261,1527.5108128729228,1547.3186376089293
CAF,0.8,6.51,1995,1536.5608436807781,1527.3596717649316,1545.7620155966247
CAF,0.8,6.51,1996,1535.5472479712832,1526.8550525484725,1544.2394433940938
CAF,0.8,6.51,1997,1534.5171042949778,1526.015179273172,1543.0190293167839
CAF,0.8,6.51,1998,1533.581700905881,1525.0209161553375,1542.1424856564247
CAF,0.8,6.51,1999,1532.8392464049393,1524.2186768323627,1541.4598159775157
CAF,0.8,6.51,2000,1532.3650758438434,1523.9157284029795,1540.8144232847071
