month,threshold,confederation,share,share_pct
2013-06,20,CONMEBOL,0.25,25.0
2013-06,20,OFC,0.0,0.0
2013-06,20,UEFA,0.55,55.00000000000001
2013-07,20,AFC,0.2,20.0
2013-07,20,CAF,0.25,25.0
2013-07,20,CONCACAF,0.55,55.00000000000001
2013-07,20,CONMEBOL,0.0,0.0
2013-07,20,OFC,0.0,0.0
2013-07,20,UEFA,0.0,0.0
2013-08,20,AFC,0.0,0.0
2013-08,20,CAF,0.0,0.0
2013-08,20,CONCACAF,0.15,15.0
2013-08,20,CONMEBOL,0.25,25.0
2013-08,20,OFC,0.0,0.0
2013-08,20,UEFA,0.6,60.0
2013-09,20,AFC,0.0,0.0
2013-09,20,CAF,0.0,0.0
2013-09,20,CONCACAF,0.1,10.0
2013-09,20,CONMEBOL,0.25,25.0
2013-09,20,OFC,0.0,0.0
2013-09,20,UEFA,0.65,65.0
2013-10,20,AFC,0.0,0.0
2013-10,20,CAF,0.0,0.0
2013-10,20,CONCACAF,0.1,10.0
2013-10,20,CONMEBOL,0.25,25.0
2013-10,20,OFC,0.0,0.0
2013-10,20,UEFA,0.65,65.0
2013-11,20,AFC,0.0,0.0
2013-11,20,CAF,0.0,0.0
2013-11,20,CONCACAF,0.15,15.0
2013-11,20,CONMEBOL,0.25,25.0
2013-11,20,OFC,0.0,0.0
2013-11,20,UEFA,0.6,60.0
2013-12,20,AFC,0.45,45.0
2013-12,20,CAF,0.5,50.0
2013-12,20,CONCACAF,0.0,0.0
2013-12,20,CONMEBOL,0.05,5.0
2013-12,20,OFC,0.0,0.0
2013-12,20,UEFA,0.0,0.0
2014-01,20,AFC,0.3,30.0
2014-01,20,CAF,0.25,25.0
2014-01,20,CONCACAF,0.1,10.0
2014-01,20,CONMEBOL,0.05,5.0
2014-01,20,OFC,0.0,0.0
2014-01,20,UEFA,0.3,30.0
2014-02,20,AFC,0.875,87.5
2014-02,20,CAF,0.0,0.0
2014-02,20,CONCACAF,0.125,12.5
2014-02,20,CONMEBOL,0.0,0.0
2014-02,20,OFC,0.0,0.0
2014-02,20,UEFA,0.0,0.0
2014-03,20,AFC,0.0,0.0
2014-03,20,CAF,0.05,5.0
2014-03,20,CONCACAF,0.1,10.0
2014-03,20,CONMEBOL,0.25,25.0
2014-03,20,OFC,0.0,0.0
2014-03,20,UEFA,0.6,60.0
2014-04,20,AFC,0.4166666666666667,41.66666666666667
2014-04,20,CAF,0.4166666666666667,41.66666666666667
2014-04,20,CONCACAF,0.16666666666666666,16.666666666666664
2014-04,20,CONMEBOL,0.0,0.0
2014-04,20,OFC,0.0,0.0
2014-04,20,UEFA,0.0,0.0
2014-05,20,AFC,0.05,5.0
2014-05,20,CAF,0.1,10.0
2014-05,20,CONCACAF,0.1,10.0
2014-05,20,CONMEBOL,0.1,10.0
2014-05,20,OFC,0.0,0.0
2014-05,20,UEFA,0.65,65.0
