confederation,month,log_mean,log_p5,log_p95,elo_mean,elo_p5,elo_p95
UEFA,2003-04,7.275538377946369,7.248193553713148,7.304818484386761,1444.7525798220238,1405.563478725243,1487.449942017685
UEFA,2003-05,7.275758393590386,7.248404450135282,7.305012049802333,1445.070446733736,1405.8599381642066,1487.7378886901017
UEFA,2003-06,7.275976318924589,7.248612558756443,7.305215623139006,1445.385363979414,1406.152540133292,1488.0407832944618
UEFA,2003-07,7.2761921074212434,7.248844199500932,7.305412770604958,1445.6972623534007,1406.4783001107307,1488.3341757625894
UEFA,2003-08,7.27640571255262,7.249060358340217,7.305638769019004,1446.0060726032943,1406.7823556871158,1488.670574938356
UEFA,2003-09,7.276617087790982,7.249280463459101,7.305871790463682,1446.311725431511,1407.0920298177705,1489.0175074942426
UEFA,2003-10,7.2768261866086,7.249525180863477,7.306102646531297,1446.6141514969017,1407.4364121226472,1489.3612958756291
UEFA,2003-11,7.2770329624777395,7.249756718115616,7.306331249526924,1446.9132814164457,1407.7623238544688,1489.7018072297867
UEFA,2003-12,7.277237368870667,7.249977323183611,7.306557511755637,1447.2090457669967,1408.0729175919614,1490.0389086055686
UEFA,2004-01,7.27743935925965,7.250194418978394,7.30677611765193,1447.5013750870908,1408.3786374506822,1490.3646755023483
UEFA,2004-02,7.277638887116955,7.250407940709315,7.306985836105893,1447.7901998788282,1408.6793889589912,1490.6772652658906
UEFA,2004-03,7.277835905914851,7.250617823585727,7.307191578050978,1448.0754506098062,1408.9750776198437,1490.9839916518013
UEFA,2004-04,7.278030369125603,7.250824393570919,7.3073339788611955,1448.357057715118,1409.2661595541301,1491.1963242325696
UEFA,2004-05,7.27822223022148,7.251029246136891,7.307488399258498,1448.6349515994207,1409.554880772892,1491.4266134353359
UEFA,2004-06,7.278411442674748,7.251280955222789,7.307692967974739,1448.9090626390584,1409.9097233060634,1491.7317438083026
UEFA,2004-07,7.278597959957672,7.251529132190442,7.307894231474718,1449.1793211842507,1410.2596741741038,1492.032005116521
UEFA,2004-08,7.278781735542523,7.2516640570074316,7.3080921257463,1449.445657561348,1410.4499656153832,1492.3272988678118
UEFA,2004-09,7.278962722901566,7.251877561954731,7.308286586777348,1449.708002075146,1410.7511360194603,1492.617526543335
UEFA,2004-10,7.279140875507068,7.252003805654869,7.308476551347397,1449.9662850112593,1410.9292454887543,1492.9010977971461
UEFA,2004-11,7.279316146831295,7.252200789150613,7.308662743464987,1450.2204366385708,1411.2072027147187,1493.1790900175697
UEFA,2004-12,7.279488490346519,7.252398610787082,7.308832430622836,1450.470387211731,1411.4863976104336,1493.4324848291376
UEFA,2005-01,7.279657859525001,7.252594442148263,7.308983483675598,1450.716066973724,1411.7628379432892,1493.6580894197814
UEFA,2005-02,7.279824207839012,7.252782970449533,7.309131570578846,1450.957406158504,1412.0290204577811,1493.8792970047527
UEFA,2005-03,7.279987488760818,7.2529679594842,7.309307285244717,1451.1943349936832,1412.290255114374,1494.141816543149
UEFA,2005-04,7.2801476557626845,7.253152520558623,7.309456079950682,1451.4267837032896,1412.5509333434472,1494.3641536372584
UEFA,2005-05,7.2803046623168814,7.253301007528424,7.309630800023538,1451.6546825105884,1412.7606942980628,1494.6252718696644
UEFA,2005-06,7.280458461895674,7.2534307253643515,7.309808273400385,1451.877961640961,1412.9439662460143,1494.8905514589735
UEFA,2005-07,7.280609007971329,7.253557804225375,7.309970339278605,1452.0965513248518,1413.1235328084713,1495.1328418195183
UEFA,2005-08,7.280756254016113,7.253682237170569,7.310105125212101,1452.310381800776,1413.2993827510875,1495.334378349622
UEFA,2005-09,7.280900153502296,7.2538040943121,7.310237392919581,1452.51938331839,1413.471613763811,1495.5321760224726
UEFA,2005-10,7.281040659902144,7.253925167014953,7.310366464459412,1452.7234861416225,1413.642756625759,1495.7252192138415
UEFA,2005-11,7.281177726687923,7.254043674620649,7.3104928123977,1452.9226205518726,1413.810293791543,1495.914213006113
UEFA,2005-12,7.281311329464841,7.254169503777471,7.310616710276204,1453.1167490145779,1413.9882035050816,1496.0995651318522
UEFA,2006-01,7.281441532369875,7.254323657771173,7.310738213071847,1453.3059627063392,1414.2061923372041,1496.2813564902706
UEFA,2006-02,7.281568421672939,7.254436380803471,7.310872754206649,1453.4903850838625,1414.3656148808388,1496.4826813008112
UEFA,2006-03,7.281692083643952,7.25454374602958,7.311007413991016,1453.6701397246004,1414.5174766644122,1496.684210742524
UEFA,2006-04,7.281812604552827,7.254670700485197,7.311138624315897,1453.8453503219355,1414.6970673807534,1496.8806039445353
UEFA,2006-05,7.281930070669483,7.254799982751566,7.3112664817166655,1454.0161406804948,1414.879974536375,1497.0720033926234
UEFA,2006-06,7.282044568263835,7.254922007060949,7.311381437587522,1454.1826347115823,1415.0526347528412,1497.2441104973745
UEFA,2006-07,7.282156183605799,7.255039258095542,7.311481067320198,1454.344956428736,1415.2185608930151,1497.3932879983474
UEFA,2006-08,7.282265002965291,7.255171782259641,7.311584432239991,1454.503229943416,1415.4061239215662,1497.5480739397915
UEFA,2006-09,7.282371112612229,7.255291131177693,7.311709862537101,1454.6575794608113,1415.575061179026,1497.7359235737524
UEFA,2006-10,7.282474598816527,7.255400152124628,7.31181087112824,1454.8081292757727,1415.7293969514653,1497.8872154299881
UEFA,2006-11,7.282575547848103,7.255508099072082,7.311902898672023,1454.955003768876,1415.8822289476395,1498.0250687469877
UEFA,2006-12,7.282674045976872,7.2556129396877065,7.311991762492371,1455.0983274026066,1416.030678818587,1498.1581950382379
UEFA,2007-01,7.282770179472752,7.255714782194827,7.312075951913403,1455.2382247176702,1416.1748984363041,1498.2843293803824
UEFA,2007-02,7.282864034605658,7.255813734816775,7.312157267411956,1455.3748203294333,1416.3150397750596,1498.4061680292125
UEFA,2007-03,7.282955697645506,7.2559099057768774,7.312235807728626,1455.508238924488,1416.4512549068468,1498.5238579026072
UEFA,2007-04,7.2830452548622135,7.256003403298461,7.312326726092606,1455.6386052573403,1416.5836959970188,1498.660107342911
UEFA,2007-05,7.283132792525696,7.256084785830704,7.312423466767545,1455.7660441472335,1416.698985954572,1498.80509570391
UEFA,2007-06,7.283218396905869,7.256141506952079,7.312507598377358,1455.8906804750902,1416.7793447960223,1498.9311979272932
UEFA,2007-07,7.283302154272649,7.256196080924599,7.312599105250738,1456.0126391805852,1416.8566659965556,1499.0683667280134
UEFA,2007-08,7.283384150895954,7.256248625824086,7.312688256223909,1456.1320452593468,1416.931116368651,1499.2020160487932
UEFA,2007-09,7.283464473045698,7.256299259726366,7.312775525920631,1456.2490237602835,1417.0028627780666,1499.3328566496145
UEFA,2007-10,7.283543206991799,7.256348100707262,7.312843288510412,1456.3636997830388,1417.0720721405032,1499.434458787302
UEFA,2007-11,7.283620439004171,7.256395266842596,7.312909242926001,1456.4761984755748,1417.1389114184688,1499.5333564264213
UEFA,2007-12,7.283696255352734,7.25644141258681,7.312973497693746,1456.5866450318824,1417.2043077509193,1499.6297117849717
UEFA,2008-01,7.283770742307401,7.256510508910761,7.313039029285113,1456.6951646898187,1417.3022347350347,1499.7279882478897
UEFA,2008-02,7.28384398613809,7.256591387314473,7.313121259487903,1456.8018827290757,1417.4168686055095,1499.8513162760844
UEFA,2008-03,7.283916073114715,7.256604763168713,7.313216086404072,1456.906924469274,1417.4358277789252,1499.9935491168874
UEFA,2008-04,7.283987089507195,7.256665210021788,7.3132816115827195,1457.0104152681856,1417.5215099531433,1500.0918397069934
UEFA,2008-05,7.2840571215854455,7.256730711679299,7.3133632753630815,1457.112480520085,1417.6143629816982,1500.2143481122207
UEFA,2008-06,7.284126255619381,7.256795891034763,7.313442598285962,1457.2132456542301,1417.7067651680516,1500.3333542517742
UEFA,2008-07,7.28419457787892,7.2568508105012794,7.3135213512955275,1457.312836133468,1417.7846269918991,1500.4515147076395
UEFA,2008-08,7.284262174633979,7.256905196621122,7.313596601487215,1457.4113774529737,1417.8617369036433,1500.5644278829907
UEFA,2008-09,7.284329132154471,7.256924961108309,7.31363957729632,1457.5089951391153,1417.8897605115858,1500.6289171573278
UEFA,2008-10,7.284395536710315,7.256959978400581,7.313629212664355,1457.6058147484448,1417.9394122191093,1500.613364292708
UEFA,2008-11,7.284461474571428,7.256998817237637,7.313675563182391,1457.7019618668244,1417.9944842617067,1500.682920434876
UEFA,2008-12,7.284527032007723,7.257047635858036,7.313778570061792,1457.797562108676,1418.0637104249126,1500.837508776051
UEFA,2009-01,7.28459229528912,7.2571357985409675,7.313881404293302,1457.89274111636,1418.1887363738056,1500.9918539536363
UEFA,2009-02,7.284657350685533,7.257223970395779,7.313984114594333,1457.9876245596863,1418.3137865523686,1501.146029021586
UEFA,2009-03,7.284722284466879,7.25731222485218,7.314086749682297,1458.0823381355501,1418.4389651206507,1501.3001070638618
UEFA,2009-04,7.284787182903072,7.257400635339883,7.314189358274604,1458.1770075676995,1418.5643762749728,1501.4541611943605
UEFA,2009-05,7.284852132264032,7.2574892752886,7.314283071948052,1458.2717586066308,1418.6901242480671,1501.5948745645585
